uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q557058,Donald H. Peterson,1933,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1921-1940
http://www.wikidata.org/entity/Q557058,Donald H. Peterson,1933,education,http://www.wikidata.org/entity/Q3428253,U.S. Air Force Test Pilot School,1,flight school,1921-1940
http://www.wikidata.org/entity/Q557066,Frederick D. Gregory,1941,education,http://www.wikidata.org/entity/Q432637,George Washington University,4,private not-for-profit educational institution | open-access publisher | research university | private university,1941-1960
http://www.wikidata.org/entity/Q557066,Frederick D. Gregory,1941,education,http://www.wikidata.org/entity/Q1331280,United States Air Force Academy,2,Field Operating Agency | air force academy,1941-1960
http://www.wikidata.org/entity/Q557066,Frederick D. Gregory,1941,education,http://www.wikidata.org/entity/Q1128819,United States Naval Test Pilot School,1,military school,1941-1960
http://www.wikidata.org/entity/Q557066,Frederick D. Gregory,1941,education,http://www.wikidata.org/entity/Q4750710,Anacostia High School,1,high school,1941-1960
http://www.wikidata.org/entity/Q557066,Frederick D. Gregory,1941,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q557082,Liu Boming,1966,education,http://www.wikidata.org/entity/Q10873057,PLA Air Force Aviation University,2,military university | military academy,1961-1980
http://www.wikidata.org/entity/Q557585,Stephen Robinson,1955,education,http://www.wikidata.org/entity/Q5028490,Campolindo High School,2,public school | high school,1941-1960
http://www.wikidata.org/entity/Q557585,Stephen Robinson,1955,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q557585,Stephen Robinson,1955,employment,http://www.wikidata.org/entity/Q129421,"University of California, Davis",5,census-designated place in the United States | public educational institution of the United States | open-access publisher | university | land-grant university,1941-1960
http://www.wikidata.org/entity/Q557585,Stephen Robinson,1955,education,http://www.wikidata.org/entity/Q41506,Stanford University,4,research university | private university | private not-for-profit educational institution | open-access publisher,1941-1960
http://www.wikidata.org/entity/Q557585,Stephen Robinson,1955,membership,http://www.wikidata.org/entity/Q1913258,Max Q,1,musical group,1941-1960
http://www.wikidata.org/entity/Q557585,Stephen Robinson,1955,education,http://www.wikidata.org/entity/Q129421,"University of California, Davis",5,census-designated place in the United States | public educational institution of the United States | open-access publisher | university | land-grant university,1941-1960
http://www.wikidata.org/entity/Q560360,Talgat Musabayev,1951,education,http://www.wikidata.org/entity/Q1154432,Ulyanovsk Higher Civil Aviation School,1,flight school,1941-1960
http://www.wikidata.org/entity/Q560360,Talgat Musabayev,1951,education,http://www.wikidata.org/entity/Q4394548,Riga Civil Aviation Engineers Institute,1,university,1941-1960
http://www.wikidata.org/entity/Q561878,Michael Foreman,1957,education,http://www.wikidata.org/entity/Q1128819,United States Naval Test Pilot School,1,military school,1941-1960
http://www.wikidata.org/entity/Q561878,Michael Foreman,1957,education,http://www.wikidata.org/entity/Q1515048,Naval Postgraduate School,5,university campus | military university | public educational institution of the United States | open-access publisher | staff college,1941-1960
http://www.wikidata.org/entity/Q561878,Michael Foreman,1957,education,http://www.wikidata.org/entity/Q559549,United States Naval Academy,4,census-designated place in the United States | public educational institution of the United States | observatory | naval academy,1941-1960
http://www.wikidata.org/entity/Q561878,Michael Foreman,1957,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q561878,Michael Foreman,1957,education,http://www.wikidata.org/entity/Q7959343,Wadsworth High School,2,public school | high school,1941-1960
http://www.wikidata.org/entity/Q562168,Eugene H. Trinh,1950,education,http://www.wikidata.org/entity/Q49112,Yale University,6,research university | private university | Colonial Colleges | academic publisher | production company | private not-for-profit educational institution,1941-1960
http://www.wikidata.org/entity/Q562168,Eugene H. Trinh,1950,education,http://www.wikidata.org/entity/Q3268847,"Lycée Michelet, Vanves",2,educational facility | lycée,1941-1960
http://www.wikidata.org/entity/Q562168,Eugene H. Trinh,1950,education,http://www.wikidata.org/entity/Q5149833,Fu Foundation School of Engineering and Applied Science,1,engineering college,1941-1960
http://www.wikidata.org/entity/Q56486505,Sultan Al Niadi,1981,education,http://www.wikidata.org/entity/Q1202292,Griffith University,2,open-access publisher | public university,1981-2000
http://www.wikidata.org/entity/Q56486505,Sultan Al Niadi,1981,education,http://www.wikidata.org/entity/Q3056813,University of Brighton,4,organization | higher education institution | educational organization | university,1981-2000
http://www.wikidata.org/entity/Q56725368,Hazza Al Mansouri,1983,education,http://www.wikidata.org/entity/Q63323653,Khalifa bin Zayed Air College,1,university,1981-2000
http://www.wikidata.org/entity/Q57059308,Meganne Christian,1987,employment,http://www.wikidata.org/entity/Q110791951,Materials Energy Research Laboratory in Nanoscale,1,research group,1981-2000
http://www.wikidata.org/entity/Q57059308,Meganne Christian,1987,employment,http://www.wikidata.org/entity/Q42262,European Space Agency,3,intergovernmental organization | international organization | space agency,1981-2000
http://www.wikidata.org/entity/Q57059308,Meganne Christian,1987,membership,http://www.wikidata.org/entity/Q105742600,2022 European Space Agency Astronaut group,2,group of humans | recruitment,1981-2000
http://www.wikidata.org/entity/Q57059308,Meganne Christian,1987,employment,http://www.wikidata.org/entity/Q18128529,Programma Nazionale di Ricerche in Antartide,1,research program,1981-2000
http://www.wikidata.org/entity/Q57059308,Meganne Christian,1987,education,http://www.wikidata.org/entity/Q7741400,The Illawarra Grammar School,3,high school | private school | school,1981-2000
http://www.wikidata.org/entity/Q57059308,Meganne Christian,1987,education,http://www.wikidata.org/entity/Q734764,University of New South Wales,3,public research university | production company | research institute,1981-2000
http://www.wikidata.org/entity/Q57059308,Meganne Christian,1987,employment,http://www.wikidata.org/entity/Q1140638,UK Space Agency,2,Executive  agency | space agency,1981-2000
http://www.wikidata.org/entity/Q57059308,Meganne Christian,1987,employment,http://www.wikidata.org/entity/Q902464,Consiglio Nazionale delle Ricerche,3,open-access publisher | organization | government agency,1981-2000
http://www.wikidata.org/entity/Q57229,Sigmund Jähn,1937,education,http://www.wikidata.org/entity/Q1248342,Otto Lilienthal Military Academy,1,Offizierhochschule of former DDR,1921-1940
http://www.wikidata.org/entity/Q57229,Sigmund Jähn,1937,education,http://www.wikidata.org/entity/Q2015903,Franz Mehring Military Academy,2,Offizierhochschule of former DDR | academic institution,1921-1940
http://www.wikidata.org/entity/Q57229,Sigmund Jähn,1937,membership,http://www.wikidata.org/entity/Q1813791,Leibniz Society of Sciences,1,eingetragener Verein,1921-1940
http://www.wikidata.org/entity/Q57229,Sigmund Jähn,1937,education,http://www.wikidata.org/entity/Q190619,Central Institute for Earth Physics,1,research institute,1921-1940
http://www.wikidata.org/entity/Q57229,Sigmund Jähn,1937,employment,http://www.wikidata.org/entity/Q42262,European Space Agency,3,intergovernmental organization | international organization | space agency,1921-1940
http://www.wikidata.org/entity/Q57229,Sigmund Jähn,1937,employment,http://www.wikidata.org/entity/Q875665,Kasernierte Volkspolizei,1,military,1921-1940
http://www.wikidata.org/entity/Q57229,Sigmund Jähn,1937,education,http://www.wikidata.org/entity/Q490188,Gagarin Air Force Academy,1,military academy,1921-1940
http://www.wikidata.org/entity/Q57229,Sigmund Jähn,1937,employment,http://www.wikidata.org/entity/Q157332,German Aerospace Center,1,research institute,1921-1940
http://www.wikidata.org/entity/Q57229,Sigmund Jähn,1937,employment,http://www.wikidata.org/entity/Q155740,National People's Army,1,military,1921-1940
http://www.wikidata.org/entity/Q573258,Michael Strahan,1971,education,http://www.wikidata.org/entity/Q7987202,Westbury High School,1,high school,1961-1980
http://www.wikidata.org/entity/Q573258,Michael Strahan,1971,education,http://www.wikidata.org/entity/Q626591,Texas Southern University,3,public educational institution of the United States | historically black college or university | university,1961-1980
http://www.wikidata.org/entity/Q573473,Charles L. Veach,1944,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q573473,Charles L. Veach,1944,education,http://www.wikidata.org/entity/Q1331280,United States Air Force Academy,2,Field Operating Agency | air force academy,1941-1960
http://www.wikidata.org/entity/Q573719,Winston E. Scott,1950,education,http://www.wikidata.org/entity/Q5545950,George Washington Carver Senior High School,1,high school,1941-1960
http://www.wikidata.org/entity/Q573719,Winston E. Scott,1950,education,http://www.wikidata.org/entity/Q1515048,Naval Postgraduate School,5,university campus | military university | public educational institution of the United States | open-access publisher | staff college,1941-1960
http://www.wikidata.org/entity/Q573719,Winston E. Scott,1950,education,http://www.wikidata.org/entity/Q5169462,Coral Gables Senior High School,1,high school,1941-1960
http://www.wikidata.org/entity/Q573719,Winston E. Scott,1950,membership,http://www.wikidata.org/entity/Q2839513,Alpha Phi Alpha,1,fraternity,1941-1960
http://www.wikidata.org/entity/Q573719,Winston E. Scott,1950,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q573719,Winston E. Scott,1950,education,http://www.wikidata.org/entity/Q861548,Florida State University,2,public educational institution of the United States | public university,1941-1960
http://www.wikidata.org/entity/Q574124,Anthony W. England,1942,education,http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,6,university | Institute of Technology | academic publisher | space grant institution | institute of technology | private not-for-profit educational institution,1941-1960
http://www.wikidata.org/entity/Q574124,Anthony W. England,1942,employment,http://www.wikidata.org/entity/Q230492,University of Michigan,2,public research university | public educational institution of the United States,1941-1960
http://www.wikidata.org/entity/Q574124,Anthony W. England,1942,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q574124,Anthony W. England,1942,education,http://www.wikidata.org/entity/Q7985142,West Fargo High School,1,high school,1941-1960
http://www.wikidata.org/entity/Q574124,Anthony W. England,1942,employment,http://www.wikidata.org/entity/Q193755,United States Geological Survey,3,national mapping agency | United States federal agency | geological survey,1941-1960
http://www.wikidata.org/entity/Q574124,Anthony W. England,1942,membership,http://www.wikidata.org/entity/Q131566,Institute of Electrical and Electronics Engineers,9,trade union federation | publishing company | engineering society | open-access publisher | standards organization | learned society | professional association | nonprofit organization | charitable organization,1941-1960
http://www.wikidata.org/entity/Q58914114,Rosemary Coogan,1991,employment,http://www.wikidata.org/entity/Q42262,European Space Agency,3,intergovernmental organization | international organization | space agency,1981-2000
http://www.wikidata.org/entity/Q58914114,Rosemary Coogan,1991,membership,http://www.wikidata.org/entity/Q105742600,2022 European Space Agency Astronaut group,2,group of humans | recruitment,1981-2000
http://www.wikidata.org/entity/Q58914114,Rosemary Coogan,1991,membership,http://www.wikidata.org/entity/Q6867,International Astronomical Union,2,international organization | scientific organization,1981-2000
http://www.wikidata.org/entity/Q58914114,Rosemary Coogan,1991,education,http://www.wikidata.org/entity/Q1161297,University of Sussex,4,public research university | organization | higher education institution | educational organization,1981-2000
http://www.wikidata.org/entity/Q58914114,Rosemary Coogan,1991,education,http://www.wikidata.org/entity/Q458393,Durham University,4,public research university | collegiate university | higher education institution | educational organization,1981-2000
http://www.wikidata.org/entity/Q592219,Anton Shkaplerov,1972,membership,http://www.wikidata.org/entity/Q106453416,Expedition 66,1,expedition to the International Space Station,1961-1980
http://www.wikidata.org/entity/Q5975489,Kimiya Yui,1970,education,http://www.wikidata.org/entity/Q4115810,National Defense Academy of Japan,2,military academy | facility and other organ,1961-1980
http://www.wikidata.org/entity/Q5975593,Takuya Ōnishi,1975,education,http://www.wikidata.org/entity/Q7842,University of Tokyo,1,university,1961-1980
http://www.wikidata.org/entity/Q60050774,Victor Vescovo,1966,education,http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,6,university | Institute of Technology | academic publisher | space grant institution | institute of technology | private not-for-profit educational institution,1961-1980
http://www.wikidata.org/entity/Q60050774,Victor Vescovo,1966,education,http://www.wikidata.org/entity/Q7589986,St. Mark's School of Texas,1,school,1961-1980
http://www.wikidata.org/entity/Q60050774,Victor Vescovo,1966,education,http://www.wikidata.org/entity/Q41506,Stanford University,4,research university | private university | private not-for-profit educational institution | open-access publisher,1961-1980
http://www.wikidata.org/entity/Q60050774,Victor Vescovo,1966,education,http://www.wikidata.org/entity/Q49126,Harvard Business School,2,business school | organization,1961-1980
http://www.wikidata.org/entity/Q607394,Richard Hieb,1955,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q607394,Richard Hieb,1955,education,http://www.wikidata.org/entity/Q1206658,University of Colorado,1,university,1941-1960
http://www.wikidata.org/entity/Q607394,Richard Hieb,1955,employment,http://www.wikidata.org/entity/Q736674,University of Colorado Boulder,3,public educational institution of the United States | research university | public university,1941-1960
http://www.wikidata.org/entity/Q60825146,Vladimir Evgenievich Preobrazhensky,1939,education,http://www.wikidata.org/entity/Q1935120,V. I. Lenin Military-Political Academy,1,military academy,1921-1940
http://www.wikidata.org/entity/Q609639,John E. Blaha,1942,education,http://www.wikidata.org/entity/Q1331280,United States Air Force Academy,2,Field Operating Agency | air force academy,1941-1960
http://www.wikidata.org/entity/Q609639,John E. Blaha,1942,education,http://www.wikidata.org/entity/Q217741,Purdue University,3,public research university | public educational institution of the United States | land-grant university,1941-1960
http://www.wikidata.org/entity/Q609639,John E. Blaha,1942,education,http://www.wikidata.org/entity/Q3428253,U.S. Air Force Test Pilot School,1,flight school,1941-1960
http://www.wikidata.org/entity/Q609639,John E. Blaha,1942,education,http://www.wikidata.org/entity/Q7999364,Wiesbaden High School,1,high school,1941-1960
http://www.wikidata.org/entity/Q609639,John E. Blaha,1942,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
