,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
1643,http://www.wikidata.org/entity/Q260217,http://www.wikidata.org/entity/Q55177,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1982.0,1993.0,1983.0,1994.0,1961-1980
1649,http://www.wikidata.org/entity/Q260217,http://www.wikidata.org/entity/Q935510,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1982.0,1993.0,1976.0,1987.0,1941-1960
1658,http://www.wikidata.org/entity/Q2620784,http://www.wikidata.org/entity/Q336810,U.S. Air Force Test Pilot School|Air Command and Staff College,2,http://www.wikidata.org/entity/Q3428253|http://www.wikidata.org/entity/Q4697817,1921-1940,1942.0,1953.0,1942.0,1953.0,1921-1940
1859,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q375202,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1976.0,1987.0,1941-1960
1870,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q49264,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1981.0,1992.0,1961-1980
1873,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q55177,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1983.0,1994.0,1961-1980
1875,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q561878,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1975.0,1986.0,1941-1960
1877,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q706939,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1975.0,1986.0,1941-1960
1879,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q725339,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1976.0,1987.0,1941-1960
1882,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q935510,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1976.0,1987.0,1941-1960
1883,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q948673,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1975.0,1986.0,1941-1960
1884,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q948775,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1980.0,1991.0,1961-1980
1887,http://www.wikidata.org/entity/Q297801,http://www.wikidata.org/entity/Q316417,United States Naval Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q559549|http://www.wikidata.org/entity/Q3428253,1921-1940,1948.0,1959.0,1948.0,1959.0,1921-1940
1894,http://www.wikidata.org/entity/Q297801,http://www.wikidata.org/entity/Q364476,University of Michigan|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q3428253,1921-1940,1948.0,1959.0,1947.0,1958.0,1921-1940
1898,http://www.wikidata.org/entity/Q297801,http://www.wikidata.org/entity/Q449706,United States Naval Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q559549|http://www.wikidata.org/entity/Q3428253,1921-1940,1948.0,1959.0,1948.0,1959.0,1921-1940
1906,http://www.wikidata.org/entity/Q297801,http://www.wikidata.org/entity/Q539385,University of Michigan|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q3428253,1921-1940,1948.0,1959.0,1950.0,1961.0,1921-1940
1756,http://www.wikidata.org/entity/Q281819,http://www.wikidata.org/entity/Q561878,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1973.0,1984.0,1975.0,1986.0,1941-1960
1757,http://www.wikidata.org/entity/Q281819,http://www.wikidata.org/entity/Q705636,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1973.0,1984.0,1967.0,1978.0,1941-1960
1758,http://www.wikidata.org/entity/Q281819,http://www.wikidata.org/entity/Q706939,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1973.0,1984.0,1975.0,1986.0,1941-1960
1853,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q32305,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1982.0,1993.0,1961-1980
1854,http://www.wikidata.org/entity/Q29650,http://www.wikidata.org/entity/Q334463,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1979.0,1990.0,1961-1980
423,http://www.wikidata.org/entity/Q1240263,http://www.wikidata.org/entity/Q1376966,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1970.0,1981.0,1972.0,1983.0,1941-1960
424,http://www.wikidata.org/entity/Q1240263,http://www.wikidata.org/entity/Q1407313,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1970.0,1981.0,1970.0,1981.0,1941-1960
428,http://www.wikidata.org/entity/Q1240263,http://www.wikidata.org/entity/Q2032646,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1970.0,1981.0,1969.0,1980.0,1941-1960
431,http://www.wikidata.org/entity/Q1240263,http://www.wikidata.org/entity/Q324774,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1970.0,1981.0,1975.0,1986.0,1941-1960
435,http://www.wikidata.org/entity/Q1240263,http://www.wikidata.org/entity/Q386148,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1970.0,1981.0,1974.0,1985.0,1941-1960
436,http://www.wikidata.org/entity/Q1240263,http://www.wikidata.org/entity/Q41575,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1970.0,1981.0,1976.0,1987.0,1941-1960
441,http://www.wikidata.org/entity/Q1240263,http://www.wikidata.org/entity/Q611704,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1970.0,1981.0,1974.0,1985.0,1941-1960
444,http://www.wikidata.org/entity/Q1240263,http://www.wikidata.org/entity/Q658221,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1970.0,1981.0,1964.0,1975.0,1941-1960
